statefp,geoid,namelsad
44.0,4830,Congressional District 30
44.0,4818,Congressional District 18
44.0,4802,Congressional District 2
44.0,4820,Congressional District 20
44.0,4831,Congressional District 31
44.0,4825,Congressional District 25
44.0,4832,Congressional District 32
44.0,4821,Congressional District 21
44.0,4803,Congressional District 3
44.0,4810,Congressional District 10
44.0,4804,Congressional District 4
44.0,4835,Congressional District 35
44.0,4813,Congressional District 13
44.0,4826,Congressional District 26
44.0,4822,Congressional District 22
44.0,4809,Congressional District 9
44.0,4819,Congressional District 19
40.0,4401,Congressional District 1
40.0,4402,Congressional District 2
32.0,3501,Congressional District 1
32.0,3503,Congressional District 3
32.0,3502,Congressional District 2
45.0,4901,Congressional District 1
45.0,4903,Congressional District 3
45.0,4904,Congressional District 4
45.0,4902,Congressional District 2
7.0,0901,Congressional District 1
7.0,0903,Congressional District 3
7.0,0904,Congressional District 4
7.0,0905,Congressional District 5
7.0,0902,Congressional District 2
7.0,09ZZ,Congressional Districts not defined
33.0,3601,Congressional District 1
33.0,3607,Congressional District 7
33.0,3627,Congressional District 27
33.0,3617,Congressional District 17
33.0,3614,Congressional District 14
33.0,3606,Congressional District 6
33.0,3605,Congressional District 5
33.0,3624,Congressional District 24
33.0,3616,Congressional District 16
33.0,3611,Congressional District 11
33.0,3615,Congressional District 15
33.0,3623,Congressional District 23
33.0,3608,Congressional District 8
33.0,3612,Congressional District 12
33.0,3618,Congressional District 18
33.0,3602,Congressional District 2
33.0,3620,Congressional District 20
33.0,3625,Congressional District 25
33.0,3603,Congressional District 3
33.0,3621,Congressional District 21
33.0,3610,Congressional District 10
33.0,3604,Congressional District 4
33.0,3613,Congressional District 13
33.0,3626,Congressional District 26
33.0,3622,Congressional District 22
33.0,3609,Congressional District 9
33.0,3619,Congressional District 19
